distCode,distName,officeCode,officeName,shopNo,address,longitude,latitude,fpsStatus,fpsType,dateTime
532,Adilabad,532007,Indravelly,1907016,DR Depo Gourapur  D.R.DEPOT. GOURAPUR,78.589258,19.485701,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532007,Indravelly,1907017,Jadhav Kubber Singh  YEMAIKUNTA,78.659009,19.512076,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532007,Indravelly,1907018,Jadhav Sanjeev Kumar  HARKAPUR,78.644658,19.474915,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532007,Indravelly,1907102,DR Depo Keslaguda  Keslaguda,78.642377,19.502715,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532008,Gudihathnur,1908001,DR Depo Gudihathnoor  2-3 DR DEPT GUDIHATHNOOR,78.515093,19.533243,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532008,Gudihathnur,1908002,N Srinivas  1-5/1    GUDIHATHNOOR,78.513046,19.527275,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532008,Gudihathnur,1908003,Thagre Narpatha Bai  KOLHARI,78.527167,19.503298,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532008,Gudihathnur,1908004,Ravinder G  4-25 TOSHAM,78.563569,19.529523,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532008,Gudihathnur,1908005,Parchaki Lachu  SEETAGONDI,78.495468,19.581275,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532008,Gudihathnur,1908006,Kamre Vithal  H.NO. 1-73 KAMLAPUR,78.488260,19.584281,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532008,Gudihathnur,1908007,DR Depo Shanthapur  Shanthapur,78.539903,19.473624,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532008,Gudihathnur,1908008,K Srinivas  4-27/1 MANNUR,78.509769,19.475156,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532008,Gudihathnur,1908009,Jadhav Gourishankar  Gudihathnoor,78.515757,19.531819,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532008,Gudihathnur,1908010,Sedmaki Bheem Rao  Tosham,78.562429,19.524720,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532008,Gudihathnur,1908011,Patne Baliram  Mannur,78.497265,19.484637,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532008,Gudihathnur,1908012,K Srinivas  Sub-DR Depot Suryaguda H/o Umri,0.000000,0.000000,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532009,Ichoda,1909001,DR Depo Ichoda  DR.DEPOT ICHODA,78.453780,19.431362,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532009,Ichoda,1909002,Padigela Rajeshwar  ICHODA,78.451478,19.430127,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532009,Ichoda,1909003,Battula Ushanna  ICHODA,78.454667,19.431893,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532009,Ichoda,1909004,M Satyanarayana  ICHODA,78.452580,19.431663,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532009,Ichoda,1909005,Sonna Subhash  BOREGAON,78.497323,19.458938,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532009,Ichoda,1909006,Battula Adellu  MADHAPUR,78.499983,19.424043,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532009,Ichoda,1909007,Jadav Naresh  MUKRA---K,78.449166,19.367046,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532009,Ichoda,1909008,Narala Kaveri  KOKASMANUUR,78.426374,19.394249,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532009,Ichoda,1909009,Palve Sanjeev  ADEGAON---K,78.435635,19.428311,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532009,Ichoda,1909010,Musle Vinayak Rao  GERJAM,78.474855,19.406468,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
